experiment_name,avg_best_val_acc,avg_train_losses,avg_val_losses,avg_test_acc
baseline_model,83.60613207547169,0.1292874613963271,0.7563448145058921,78.7
exp2_1_deep,81.22720125786164,0.4107897915840605,0.8210622681716269,77.2
exp2_2_deep,81.35377358490567,0.4529422425397603,0.8809501778747801,77.1
exp2_3_deep,81.72798742138365,0.4394601541636573,0.9426960385789902,76.3
exp3_1_deep,82.85298742138365,0.3637514828612821,0.9061989338170576,75.6
exp3_2_deep,81.22798742138365,0.4494129124248715,0.9641713442954276,76.5
exp3_3_deep,78.97248427672956,0.6086059815148868,1.082638951464187,74.9
exp4_1_dropout,82.97798742138365,0.5880685884162526,0.9629047723670484,78.4
exp4_2_dropout,83.10220125786164,0.9018060093798131,1.0571910283855068,78.4
exp4_3_dropout,83.47955974842768,1.1294500243909265,1.1473882673945623,77.6
exp4_4_dropout,82.73113207547169,1.115206341439371,1.015684245640236,78.5
exp5_1_leakyrelu,81.85534591194968,0.4515061584702629,0.9525262258870127,76.6
exp5_2_elu,83.72955974842768,0.2926155799383017,0.8419702764753781,77.2
exp5_3_swish,81.22641509433961,0.3801602211819913,0.9471194817864486,75.5
exp6_1_batchnorm,83.60534591194968,0.7504528766842254,1.1747818659268692,79.7
exp7_1_penultimate,67.08962264150944,1.108038578631589,1.540152075902315,66.8

exp_noise_augmentation_once,95.68181818181817,0.5264844025072365,0.5147264209894248,93.35000000000001 // max epochs = 50, patience = 7
exp_noise_augmentation_epoch,85.60455974842768,0.8023763215158667,0.9816987241676876,80.59999999999998
exp_weight_clipping,85.10534591194968,1.1723404834508895,1.3395416851043702,80.39999999999999
exp_noise_augmentation_once,95.7441222570533,0.6450111431543316,0.5876647822516305,93.6 //max epochs = 35, patience = 5
exp_noise_augmentation_once_fma,84.7284095349746,0.6149687649163283,0.7718541665941698,84.6326977180369






exp2_1_deep,81.22641509433961,0.3734412555405175,0.7686436381518073,77.0
exp2_2_deep,81.60377358490565,0.45800733855531367,0.8710243783815035,78.5
exp2_3_deep,81.10377358490567,0.5658052518371288,1.048477069659714,76.5
exp3_1_deep,81.60220125786162,0.47927526154936617,0.9416325996155702,74.5
exp3_2_deep,81.10377358490567,0.5658052518371288,1.048477069659714,76.5
exp3_3_deep,79.72641509433961,0.6947624222830914,1.1337728684349322,78.5
exp4_1_dropout,82.35220125786164,0.7568412512884701,1.0336929698839408,77.5
exp4_2_dropout,82.6014150943396,0.9965022135568657,1.0810371067257356,79.0
exp4_3_dropout,80.72248427672955,1.2071371815901852,1.1872969358865784,79.0
exp5_1_leakyrelu,80.97798742138366,0.5615076222254481,1.045029106347284,75.0
exp5_2_elu,82.47955974842768,0.43905346757169444,0.885211143278474,76.5
exp5_3_swish,81.85377358490567,0.5351658353880644,1.019525521300433,78.0
exp6_1_batchnorm,85.4803459119497,0.37130320775955916,0.8868707989454269,82.5
exp6_2_batchnorm_dropout,85.23270440251572,0.858196353763503,1.0340143666460708,81.0

exp_noise_augmentation_once,97.55877742946709,0.6517594795588937,0.547949484284435,81.0



exp_noise_augmentation_once_fma,95.3806598978723,0.5841971535413937,0.8025593391252928,64.3125
exp_noise_augmentation_once_vggish_gtzan,98.31014890282131,0.5845091683278565,0.487299613763054,79.5
exp_noise_augmentation_once_vggish_fma,98.217998931243,0.38642238385203037,0.9003584294815263,58.03627267041901
exp_noise_augmentation_once_panns_gtzan,74.62500000000001,0.9382269656487873,1.2127958033425468,77.0
